sentence_id,word,cyrillic,cyrillic_saidova,gloss,my_gloss,id,error
30,w=oč-an-da,в=оч-ан-да,в=оч-ан-да,M=carry.out.PST-CONV-COP,,,
31,is̄ira-ru,иссира-ру,иссира-ру,outward-EL,,,
31,kyarti-qi,к'арти-хъи,к'арти-хъи,fence-AD,к'арти<NOUN>><ad>,,
31,hilya-riL'i,гьил'а-рикьи,гьил'а-рикьи,above-TRANS,,,
31,huda=b,гьуда=б,гьуда=б,that=N,гьудо<PRON>><n>,,
31,is-a-qi,ис-а-хъи,ис-а-хъи,side-OBL-AD,ис<NOUN>><obl>><ad>,70035,abs
31,w=oč-ant-a-wq'aLi,в=оч-ант-а-вкъалIи,в=оч-ант-а-вкъалIи,M=carry.out-PRS-CONV-WHEN,,,
31,musa-Li,муса-лIи,муса-лIи,Musa-GEN,муса<NOUN>><gen>,,abs
31,č̄ak̄.-e,ччаккв-е,ччаккв-е,gut-PL,ччакква<NOUN>><pl>,73903,
31,qurqud-a,хъурхъуд-а,хъурхъуд-а,drag.PST-CONV,,,
31,ač̄aqi-ridi,аччахъи-риди,аччахъи-риди,on.the.ground-TRANS,,,
31,ru=k'-a-da,ру=кI-а-да,ру=кI-а-да,NPL=be.PST-CONV-COP,,,
32,ʕalik'ya-di,гIаликI'а-ди,гIаликI'а-ди,Alikja-ERG,гIаликI'а<NOUN>><erg>,,abs
32,musa,муса,муса,Musa,муса<NOUN>,,
32,w=oč-an-da,в=оч-ан-да,в=оч-ан-да,M=carry.PST-CONV-COP,,,
32,hani,гьани,гьани,village,гьани<NOUN>,68773,
32,bak-i-la,бак-и-ла,бак-и-ла,outskirts-OBL-SUPER,бак'а<NOUN>><obl>><sup>,67138,
32,adami-k-e:-ra,адами-к-е̄-ра,адами-к-е̄-ра,man-PL-OBLPL-AFF,адами<NOUN>><pl>><obl>><aff>,66881,
32,haʔ-ič'i-bu-lu,гьа-ичIи-бу-лу,гьа-ичIи-бу-лу,see-NEG-PART-LOC,,,
33,musa,муса,муса,Musa,муса<NOUN>,,
33,w=uč-at-a,в=уч-ат-а,в=уч-ат-а,M=die-PRS-CONV,,,
33,wu=k'-a-da,ву=кI-а-да,ву=кI-а-да,M=be.PST-CONV-COP,,,
34,ho-š̄-ti,гьо-щ-ти,гьо-щ-ти,he-OBL.M-ERG,гьо<PRON>><obl><m>><erg>,,
34,hiL'-u-da,гьикь-у-да,гьикь-у-да,say.PST-CONV-COP,,,
34,ʕalik'ya-qi,гIаликI'а-хъи,гIаликI'а-хъи,Alikja-AD,гIаликI'а<NOUN>><ad>,,abs
35,den,ден,ден,I,ден<PRON>,,
35,hera,гьера,гьера,now,,,
35,k.aXt̄aLi,квахтталIи,квахтталIи,Kwahidatli,квахтталIи<NOUN>,,abs
35,w=ac'-in-qi,в=ацI-ин-хъи,в=ацI-ин-хъи,M=reach-INF-AD,,,
35,iwuč'-a,ивучI-а,ивучI-а,be.PRS.NEG-CONV,,,
35,hera,гьера,гьера,now,,,
35,pajda,пайда,пайда,way.out,пайда<NOUN>,71745,
35,iwuč'-a,ивучI-а,ивучI-а,be.PRS.NEG-CONV,,,
35,iL-i=b,илI-и=б,илI-и=б,we.INCL-OBL=GEN.N,илIе<PRON>><obl>><n><gen>,,
35,ha=w=a,гьа=в=а,гьа=в=а,here=M,,,
35,w=ot-a,в=от-а,в=от-а,M=leave-IMP,,,
35,ži=w=L'u,жи=в=кьу,жи=в=кьу,self=M=CIT,жи<PRON>><m>><cit>,,part
36,ʕalik'ya-di,гIаликI'а-ди,гIаликI'а-ди,Alikja-ERG,гIаликI'а<NOUN>><erg>,,abs
36,ho-š̄u=b,гьо-щу=б,гьо-щу=б,he-OBL.M=GEN.N,гьо<PRON>><obl><m>><gen>,,
36,tumagi,тумаги,тумаги,gun,тумаги<NOUN>,72709,
36,X̄anžar,хханжар,хханжар,dagger,хханжар<NOUN>,73094,
36,caXa=b=a,цаха=б=а,цаха=б=а,away=N,,,
36,b=aX-at-a,б=ах-ат-а,б=ах-ат-а,N=take-PRS-CONV,,,
36,bu=k'-a-da,бу=кI-а-да,бу=кI-а-да,N=be.PST-CONV-COP,,,
37,musa-di,муса-ди,муса-ди,Musa-ERG,муса<NOUN>><erg>,,abs
37,hiL'-u-da,гьикь-у-да,гьикь-у-да,say.PST-CONV-COP,,,
